ogrenci_no,ad,soyad,email
20250001,Mehmet,Yılmaz,mehmet.yilmaz@ogrenci.edu.tr
20250002,Ayşe,Kaya,ayse.kaya@ogrenci.edu.tr
20250003,Ahmet,Demir,ahmet.demir@ogrenci.edu.tr
20250004,Fatma,Şahin,fatma.sahin@ogrenci.edu.tr
20250005,Ali,Yıldız,ali.yildiz@ogrenci.edu.tr
20250006,Zeynep,Özkan,zeynep.ozkan@ogrenci.edu.tr
20250007,Mustafa,Arslan,mustafa.arslan@ogrenci.edu.tr
20250008,Elif,Aydın,elif.aydin@ogrenci.edu.tr
20250009,Emre,Polat,emre.polat@ogrenci.edu.tr
20250010,Selin,Çelik,selin.celik@ogrenci.edu.tr

